species,fisheries_target
Ptereleotris microlepis,rarely
Pterocaesio digramma,rarely
Pterocaesio marri,rarely
Pterocaesio tile,rarely
Pterocaesio trilineata,rarely
Rhabdosargus sarba,often
Scarus altipinnis,rarely
Scarus chameleon,rarely
Scarus flavipectoralis,rarely
Scarus frenatus,rarely
Scarus ghobban,rarely
Scarus niger,rarely
Scarus prasiognathos,rarely
Scarus rivulatus,rarely
Scarus schlegeli,rarely
Schuettea scalaripinnis,rarely
Schuettea woodwardi,rarely
Scobinichthys granulatus,occasionally
Scolopsis bilineata,rarely
Scorpis aequipinnis,often
Scorpis georgiana,occasionally
Scorpis lineolata,often
Seriola lalandi,often
Serranocirrhitus latus,rarely
Siganus doliatus,rarely
Siganus fuscescens,rarely
Siganus virgatus,rarely
Siphonognathus beddomei,rarely
Sphyraena obtusata,occasionally
Stegastes apicalis,rarely
Stegastes fasciolatus,rarely
Stegastes gascoynei,rarely
Stegastes nigricans,rarely
Stegastes obreptus,rarely
Stethojulis bandanensis,rarely
Stethojulis interrupta,rarely
Stethojulis strigiventer,rarely
Sufflamen chrysopterum,rarely
Thalassoma amblycephalum,rarely
Thalassoma hardwicke,rarely
Thalassoma jansenii,rarely
Thalassoma lunare,rarely
Thalassoma lutescens,rarely
Thalassoma nigrofasciatum,rarely
Thalassoma quinquevittatum,rarely
Tilodon sexfasciatus,rarely
Torquigener pleurogramma,rarely
Trachinops caudimaculatus,rarely
Trachinops noarlungae,rarely
Trachinops taeniatus,rarely
Trachurus declivis,often
Trachurus novaezelandiae,often
Upeneichthys lineatus,often
Upeneichthys vlamingii,often
Valenciennea muralis,rarely
Zanclus cornutus,rarely
Zebrasoma scopas,rarely
Zebrasoma veliferum,rarely
